tactic,technique,Id,action_what,action_where,where_attribute,when,when_condition,when_object,why_state,why_what,why_where,how,how_what,how_where,precondition,postcondition,alternative_technique
Class,malont,Address,address,address,,,,,,,,,,,,,
Class,malont,Adware,adware,adware,,,,,,,,,,,,,
Class,malont,Amplification,amplification,amplification,,,,,,,,,,,,,
Class,malont,Anonymization,anonymization,anonymization,,,,,,,,,,,,,
Class,malont,Application,application,application,,,,,,,,,,,,,
Class,malont,AttackPattern,attack pattern,attack pattern,,,,,,,,,,,,,
Class,malont,AttackPattern_LargeDescription,attack pattern_large description,attack pattern_large description,,,,,,,,,,,,,
Class,malont,AttackPattern_SmallDescription,attack pattern_small description,attack pattern_small description,,,,,,,,,,,,,
Class,malont,Backdoor,backdoor,backdoor,,,,,,,,,,,,,
Class,malont,Bootkit,bootkit,bootkit,,,,,,,,,,,,,
Class,malont,Bot,bot,bot,,,,,,,,,,,,,
Class,malont,Botnet,botnet,botnet,,,,,,,,,,,,,
Class,malont,Browser,browser,browser,,,,,,,,,,,,,
Class,malont,Campaign,campaign,campaign,,,,,,,,,,,,,
Class,malont,CommandAndControl,command and control,command and control,,,,,,,,,,,,,
Class,malont,Country,country,country,,,,,,,,,,,,,
Class,malont,DDoS,d do s,d do s,,,,,,,,,,,,,
Class,malont,DomainName,domain name,domain name,,,,,,,,,,,,,
Class,malont,Downloader,downloader,downloader,,,,,,,,,,,,,
Class,malont,Dropper,dropper,dropper,,,,,,,,,,,,,
Class,malont,Email,email,email,,,,,,,,,,,,,
Class,malont,Exfiltration,exfiltration,exfiltration,,,,,,,,,,,,,
Class,malont,Exploit-kit,exploit-kit,exploit-kit,,,,,,,,,,,,,
Class,malont,File,file,file,,,,,,,,,,,,,
Class,malont,Filepath,filepath,filepath,,,,,,,,,,,,,
Class,malont,GeneralVirus,general virus,general virus,,,,,,,,,,,,,
Class,malont,Hardware,hardware,hardware,,,,,,,,,,,,,
Class,malont,Hash,hash,hash,,,,,,,,,,,,,
Class,malont,HostingMalware,hosting malware,hosting malware,,,,,,,,,,,,,
Class,malont,HostingTargetLists,hosting target lists,hosting target lists,,,,,,,,,,,,,
Class,malont,Indicator,indicator,indicator,,,,,,,,,,,,,
Class,malont,Infrastructure,infrastructure,infrastructure,,,,,,,,,,,,,
Class,malont,Keylogger,keylogger,keylogger,,,,,,,,,,,,,
Class,malont,Location,location,location,,,,,,,,,,,,,
Class,malont,MD5,md5,md5,,,,,,,,,,,,,
Class,malont,Malware,malware,malware,,,,,,,,,,,,,
Class,malont,MalwareAnalysis,malware analysis,malware analysis,,,,,,,,,,,,,
Class,malont,MalwareFamily,malware family,malware family,,,,,,,,,,,,,
Class,malont,Network,network,network,,,,,,,,,,,,,
Class,malont,OperatingSystem,operating system,operating system,,,,,,,,,,,,,
Class,malont,Organization,organization,organization,,,,,,,,,,,,,
Class,malont,Person,person,person,,,,,,,,,,,,,
Class,malont,Phishing,phishing,phishing,,,,,,,,,,,,,
Class,malont,Port,port,port,,,,,,,,,,,,,
Class,malont,Protocol,protocol,protocol,,,,,,,,,,,,,
Class,malont,Ransomware,ransomware,ransomware,,,,,,,,,,,,,
Class,malont,Reconnaissance,reconnaissance,reconnaissance,,,,,,,,,,,,,
Class,malont,Region,region,region,,,,,,,,,,,,,
Class,malont,RemoteAccessTrojan-RAT,remote access trojan-rat,remote access trojan-rat,,,,,,,,,,,,,
Class,malont,Report,report,report,,,,,,,,,,,,,
Class,malont,ResourceExploitation,resource exploitation,resource exploitation,,,,,,,,,,,,,
Class,malont,RogueSecuritySoftware,rogue security software,rogue security software,,,,,,,,,,,,,
Class,malont,Rootkit,rootkit,rootkit,,,,,,,,,,,,,
Class,malont,SHA,sha,sha,,,,,,,,,,,,,
Class,malont,SHA-1,sha-1,sha-1,,,,,,,,,,,,,
Class,malont,SHA-256,sha-256,sha-256,,,,,,,,,,,,,
Class,malont,SSDeep,ss deep,ss deep,,,,,,,,,,,,,
Class,malont,ScreenCapture,screen capture,screen capture,,,,,,,,,,,,,
Class,malont,Software,software,software,,,,,,,,,,,,,
Class,malont,Spyware,spyware,spyware,,,,,,,,,,,,,
Class,malont,Staging,staging,staging,,,,,,,,,,,,,
Class,malont,System,system,system,,,,,,,,,,,,,
Class,malont,ThreatActor,threat actor,threat actor,,,,,,,,,,,,,
Class,malont,Time,time,time,,,,,,,,,,,,,
Class,malont,Trojan,trojan,trojan,,,,,,,,,,,,,
Class,malont,URL,url,url,,,,,,,,,,,,,
Class,malont,Unknown,unknown,unknown,,,,,,,,,,,,,
Class,malont,VirusScanner,virus scanner,virus scanner,,,,,,,,,,,,,
Class,malont,Vulnerability,vulnerability,vulnerability,,,,,,,,,,,,,
Class,malont,Vulnerability_CVEID,vulnerability_cveid,vulnerability_cveid,,,,,,,,,,,,,
Class,malont,Vulnerability_Desc,vulnerability_desc,vulnerability_desc,,,,,,,,,,,,,
Class,malont,Webshell,webshell,webshell,,,,,,,,,,,,,
Class,malont,Wiper,wiper,wiper,,,,,,,,,,,,,
Class,malont,Worm,worm,worm,,,,,,,,,,,,,
Class,malont,vHash,v hash,v hash,,,,,,,,,,,,,
Property,malont,belongsTo,belongs to,belongs to,,,,,,,,,,,,,
Property,malont,communicatesWith,communicates with,communicates with,,,,,,,,,,,,,
Property,malont,exploits,exploits,exploits,,,,,,,,,,,,,
Property,malont,has,has,has,,,,,,,,,,,,,
Property,malont,hasAlias,has alias,has alias,,,,,,,,,,,,,
Property,malont,hasAuthor,has author,has author,,,,,,,,,,,,,
Property,malont,hasVulnerability,has vulnerability,has vulnerability,,,,,,,,,,,,,
Property,malont,indicates,indicates,indicates,,,,,,,,,,,,,
Property,malont,targets,targets,targets,,,,,,,,,,,,,
Property,malont,uses,uses,uses,,,,,,,,,,,,,
