tactic,technique,Id,action_what,action_where,where_attribute,when,when_condition,when_object,why_state,why_what,why_where,how,how_what,how_where,precondition,postcondition,alternative_technique
Class,stix,AccountTypeOv,account type ov,account type ov,,,,,,,,,,,,,
Class,stix,AlternateDataStreamType,alternate data stream type,alternate data stream type,,,,,,,,,,,,,
Class,stix,ArchiveExt,archive ext,archive ext,,,,,,,,,,,,,
Class,stix,Artifact,artifact,artifact,,,,,,,,,,,,,
Class,stix,AttackMotivationOv,attack motivation ov,attack motivation ov,,,,,,,,,,,,,
Class,stix,AttackPattern,attack pattern,attack pattern,,,,,,,,,,,,,
Class,stix,AttackResourceLevelOv,attack resource level ov,attack resource level ov,,,,,,,,,,,,,
Class,stix,AutonomousSystem,autonomous system,autonomous system,,,,,,,,,,,,,
Class,stix,Bundle,bundle,bundle,,,,,,,,,,,,,
Class,stix,Campaign,campaign,campaign,,,,,,,,,,,,,
Class,stix,CourseOfAction,course of action,course of action,,,,,,,,,,,,,
Class,stix,Dictionary,dictionary,dictionary,,,,,,,,,,,,,
Class,stix,Directory,directory,directory,,,,,,,,,,,,,
Class,stix,DomainName,domain name,domain name,,,,,,,,,,,,,
Class,stix,EmailAddress,email address,email address,,,,,,,,,,,,,
Class,stix,EmailMessage,email message,email message,,,,,,,,,,,,,
Class,stix,EmailMimePartType,email mime part type,email mime part type,,,,,,,,,,,,,
Class,stix,EncryptionAlgorithmEnum,encryption algorithm enum,encryption algorithm enum,,,,,,,,,,,,,
Class,stix,ExtensionDefinition,extension definition,extension definition,,,,,,,,,,,,,
Class,stix,ExtensionTypeEnum,extension type enum,extension type enum,,,,,,,,,,,,,
Class,stix,ExternalReference,external reference,external reference,,,,,,,,,,,,,
Class,stix,File,file,file,,,,,,,,,,,,,
Class,stix,GranularMarking,granular marking,granular marking,,,,,,,,,,,,,
Class,stix,Grouping,grouping,grouping,,,,,,,,,,,,,
Class,stix,GroupingContextOv,grouping context ov,grouping context ov,,,,,,,,,,,,,
Class,stix,HashAlgorithmOv,hash algorithm ov,hash algorithm ov,,,,,,,,,,,,,
Class,stix,Hashes,hashes,hashes,,,,,,,,,,,,,
Class,stix,HttpRequestExt,http request ext,http request ext,,,,,,,,,,,,,
Class,stix,IPv4Address,i pv4address,i pv4address,,,,,,,,,,,,,
Class,stix,IPv6Address,i pv6address,i pv6address,,,,,,,,,,,,,
Class,stix,IcmpExt,icmp ext,icmp ext,,,,,,,,,,,,,
Class,stix,Identity,identity,identity,,,,,,,,,,,,,
Class,stix,IdentityClassOv,identity class ov,identity class ov,,,,,,,,,,,,,
Class,stix,ImplementationLanguageOv,implementation language ov,implementation language ov,,,,,,,,,,,,,
Class,stix,Incident,incident,incident,,,,,,,,,,,,,
Class,stix,Indicator,indicator,indicator,,,,,,,,,,,,,
Class,stix,IndicatorTypeOv,indicator type ov,indicator type ov,,,,,,,,,,,,,
Class,stix,IndustrySectorOv,industry sector ov,industry sector ov,,,,,,,,,,,,,
Class,stix,Infrastructure,infrastructure,infrastructure,,,,,,,,,,,,,
Class,stix,InfrastructureTypeOv,infrastructure type ov,infrastructure type ov,,,,,,,,,,,,,
Class,stix,IntrusionSet,intrusion set,intrusion set,,,,,,,,,,,,,
Class,stix,KillChainPhase,kill chain phase,kill chain phase,,,,,,,,,,,,,
Class,stix,LanguageContent,language content,language content,,,,,,,,,,,,,
Class,stix,Location,location,location,,,,,,,,,,,,,
Class,stix,MACAddress,mac address,mac address,,,,,,,,,,,,,
Class,stix,Malware,malware,malware,,,,,,,,,,,,,
Class,stix,MalwareAnalysis,malware analysis,malware analysis,,,,,,,,,,,,,
Class,stix,MalwareCapabilitiesOv,malware capabilities ov,malware capabilities ov,,,,,,,,,,,,,
Class,stix,MalwareResultOv,malware result ov,malware result ov,,,,,,,,,,,,,
Class,stix,MalwareTypeOv,malware type ov,malware type ov,,,,,,,,,,,,,
Class,stix,MarkingDefinition,marking definition,marking definition,,,,,,,,,,,,,
Class,stix,Mutex,mutex,mutex,,,,,,,,,,,,,
Class,stix,NetworkSocketFamilyEnum,network socket family enum,network socket family enum,,,,,,,,,,,,,
Class,stix,NetworkSocketTypeEnum,network socket type enum,network socket type enum,,,,,,,,,,,,,
Class,stix,NetworkTraffic,network traffic,network traffic,,,,,,,,,,,,,
Class,stix,Note,note,note,,,,,,,,,,,,,
Class,stix,NtfsExt,ntfs ext,ntfs ext,,,,,,,,,,,,,
Class,stix,ObservedData,observed data,observed data,,,,,,,,,,,,,
Class,stix,Opinion,opinion,opinion,,,,,,,,,,,,,
Class,stix,OpinionEnum,opinion enum,opinion enum,,,,,,,,,,,,,
Class,stix,PatternTypeOv,pattern type ov,pattern type ov,,,,,,,,,,,,,
Class,stix,PdfExt,pdf ext,pdf ext,,,,,,,,,,,,,
Class,stix,Process,process,process,,,,,,,,,,,,,
Class,stix,ProcessorArchitectureOv,processor architecture ov,processor architecture ov,,,,,,,,,,,,,
Class,stix,RasterImageExt,raster image ext,raster image ext,,,,,,,,,,,,,
Class,stix,RegionOv,region ov,region ov,,,,,,,,,,,,,
Class,stix,Relationship,relationship,relationship,,,,,,,,,,,,,
Class,stix,Report,report,report,,,,,,,,,,,,,
Class,stix,ReportTypeOv,report type ov,report type ov,,,,,,,,,,,,,
Class,stix,Sighting,sighting,sighting,,,,,,,,,,,,,
Class,stix,SocketExt,socket ext,socket ext,,,,,,,,,,,,,
Class,stix,Software,software,software,,,,,,,,,,,,,
Class,stix,StatementMarking,statement marking,statement marking,,,,,,,,,,,,,
Class,stix,StixCategoryObject,stix category object,stix category object,,,,,,,,,,,,,
Class,stix,StixCyberObservable,stix cyber observable,stix cyber observable,,,,,,,,,,,,,
Class,stix,StixDatatype,stix datatype,stix datatype,,,,,,,,,,,,,
Class,stix,StixDomainObject,stix domain object,stix domain object,,,,,,,,,,,,,
Class,stix,StixEnumeration,stix enumeration,stix enumeration,,,,,,,,,,,,,
Class,stix,StixMetaObject,stix meta object,stix meta object,,,,,,,,,,,,,
Class,stix,StixObject,stix object,stix object,,,,,,,,,,,,,
Class,stix,StixOpenVocabulary,stix open vocabulary,stix open vocabulary,,,,,,,,,,,,,
Class,stix,StixRelationshipObject,stix relationship object,stix relationship object,,,,,,,,,,,,,
Class,stix,TLPMarking,tlp marking,tlp marking,,,,,,,,,,,,,
Class,stix,TcpExt,tcp ext,tcp ext,,,,,,,,,,,,,
Class,stix,ThreatActor,threat actor,threat actor,,,,,,,,,,,,,
Class,stix,ThreatActorRoleOv,threat actor role ov,threat actor role ov,,,,,,,,,,,,,
Class,stix,ThreatActorSophisticationOv,threat actor sophistication ov,threat actor sophistication ov,,,,,,,,,,,,,
Class,stix,ThreatActorTypeOv,threat actor type ov,threat actor type ov,,,,,,,,,,,,,
Class,stix,Tool,tool,tool,,,,,,,,,,,,,
Class,stix,ToolTypeOv,tool type ov,tool type ov,,,,,,,,,,,,,
Class,stix,URL,url,url,,,,,,,,,,,,,
Class,stix,UnixAccountExt,unix account ext,unix account ext,,,,,,,,,,,,,
Class,stix,UserAccount,user account,user account,,,,,,,,,,,,,
Class,stix,Vulnerability,vulnerability,vulnerability,,,,,,,,,,,,,
Class,stix,WindowsIntegrityLevelEnum,windows integrity level enum,windows integrity level enum,,,,,,,,,,,,,
Class,stix,WindowsPeBinaryTypeOv,windows pe binary type ov,windows pe binary type ov,,,,,,,,,,,,,
Class,stix,WindowsPeOptionalHeaderType,windows pe optional header type,windows pe optional header type,,,,,,,,,,,,,
Class,stix,WindowsPeSectionType,windows pe section type,windows pe section type,,,,,,,,,,,,,
Class,stix,WindowsPebinaryExt,windows pebinary ext,windows pebinary ext,,,,,,,,,,,,,
Class,stix,WindowsProcessExt,windows process ext,windows process ext,,,,,,,,,,,,,
Class,stix,WindowsRegistryDatatypeEnum,windows registry datatype enum,windows registry datatype enum,,,,,,,,,,,,,
Class,stix,WindowsRegistryKey,windows registry key,windows registry key,,,,,,,,,,,,,
Class,stix,WindowsRegistryValueType,windows registry value type,windows registry value type,,,,,,,,,,,,,
Class,stix,WindowsServiceExt,windows service ext,windows service ext,,,,,,,,,,,,,
Class,stix,WindowsServiceStartTypeEnum,windows service start type enum,windows service start type enum,,,,,,,,,,,,,
Class,stix,WindowsServiceStatusEnum,windows service status enum,windows service status enum,,,,,,,,,,,,,
Class,stix,WindowsServiceTypeEnum,windows service type enum,windows service type enum,,,,,,,,,,,,,
Class,stix,X509Certificate,x509certificate,x509certificate,,,,,,,,,,,,,
Class,stix,X509v3ExtensionsType,x509v3extensions type,x509v3extensions type,,,,,,,,,,,,,
Property,stix,additional_header_fields,additional_header_fields,additional_header_fields,,,,,,,,,,,,,
Property,stix,alternate_data_streams,alternate_data_streams,alternate_data_streams,,,,,,,,,,,,,
Property,stix,analysis-of,analysis-of,analysis-of,,,,,,,,,,,,,
Property,stix,analysis_sco_refs,analysis_sco_refs,analysis_sco_refs,,,,,,,,,,,,,
Property,stix,attributed-to,attributed-to,attributed-to,,,,,,,,,,,,,
Property,stix,authored-by,authored-by,authored-by,,,,,,,,,,,,,
Property,stix,based-on,based-on,based-on,,,,,,,,,,,,,
Property,stix,bcc_refs,bcc_refs,bcc_refs,,,,,,,,,,,,,
Property,stix,beacons-to,beacons-to,beacons-to,,,,,,,,,,,,,
Property,stix,belongs_to_ref,belongs_to_ref,belongs_to_ref,,,,,,,,,,,,,
Property,stix,belongs_to_refs,belongs_to_refs,belongs_to_refs,,,,,,,,,,,,,
Property,stix,body_multipart,body_multipart,body_multipart,,,,,,,,,,,,,
Property,stix,body_raw_ref,body_raw_ref,body_raw_ref,,,,,,,,,,,,,
Property,stix,categorizedBy,categorized by,categorized by,,,,,,,,,,,,,
Property,stix,cc_refs,cc_refs,cc_refs,,,,,,,,,,,,,
Property,stix,characterizes,characterizes,characterizes,,,,,,,,,,,,,
Property,stix,child_refs,child_refs,child_refs,,,,,,,,,,,,,
Property,stix,communicates-with,communicates-with,communicates-with,,,,,,,,,,,,,
Property,stix,compromises,compromises,compromises,,,,,,,,,,,,,
Property,stix,consists-of,consists-of,consists-of,,,,,,,,,,,,,
Property,stix,contains_refs,contains_refs,contains_refs,,,,,,,,,,,,,
Property,stix,content_ref,content_ref,content_ref,,,,,,,,,,,,,
Property,stix,contents,contents,contents,,,,,,,,,,,,,
Property,stix,controls,controls,controls,,,,,,,,,,,,,
Property,stix,created_by_ref,created_by_ref,created_by_ref,,,,,,,,,,,,,
Property,stix,creator_user_ref,creator_user_ref,creator_user_ref,,,,,,,,,,,,,
Property,stix,definition,definition,definition,,,,,,,,,,,,,
Property,stix,delivers,delivers,delivers,,,,,,,,,,,,,
Property,stix,document_info_dict,document_info_dict,document_info_dict,,,,,,,,,,,,,
Property,stix,downloads,downloads,downloads,,,,,,,,,,,,,
Property,stix,drops,drops,drops,,,,,,,,,,,,,
Property,stix,dst_payload_ref,dst_payload_ref,dst_payload_ref,,,,,,,,,,,,,
Property,stix,dst_ref,dst_ref,dst_ref,,,,,,,,,,,,,
Property,stix,dynamic-analysis-of,dynamic-analysis-of,dynamic-analysis-of,,,,,,,,,,,,,
Property,stix,encapsulated_by_ref,encapsulated_by_ref,encapsulated_by_ref,,,,,,,,,,,,,
Property,stix,encapsulates_refs,encapsulates_refs,encapsulates_refs,,,,,,,,,,,,,
Property,stix,environment_variables,environment_variables,environment_variables,,,,,,,,,,,,,
Property,stix,exfiltrate-to,exfiltrate-to,exfiltrate-to,,,,,,,,,,,,,
Property,stix,exif_tags,exif_tags,exif_tags,,,,,,,,,,,,,
Property,stix,exploits,exploits,exploits,,,,,,,,,,,,,
Property,stix,extensions,extensions,extensions,,,,,,,,,,,,,
