tactic,technique,Id,action_what,action_where,where_attribute,when,when_condition,when_object,why_state,why_what,why_where,how,how_what,how_where,precondition,postcondition,alternative_technique
Class,uco,API,api,api,,,,,,,,,,,,,
Class,uco,ARPCache,arp cache,arp cache,,,,,,,,,,,,,
Class,uco,ARPCacheEntry,arp cache entry,arp cache entry,,,,,,,,,,,,,
Class,uco,Account,account,account,,,,,,,,,,,,,
Class,uco,AccountAuthenticationFacet,account authentication facet,account authentication facet,,,,,,,,,,,,,
Class,uco,AccountFacet,account facet,account facet,,,,,,,,,,,,,
Class,uco,Action,action,action,,,,,,,,,,,,,
Class,uco,ActionArgumentFacet,action argument facet,action argument facet,,,,,,,,,,,,,
Class,uco,ActionEstimationFacet,action estimation facet,action estimation facet,,,,,,,,,,,,,
Class,uco,ActionFrequencyFacet,action frequency facet,action frequency facet,,,,,,,,,,,,,
Class,uco,ActionLifecycle,action lifecycle,action lifecycle,,,,,,,,,,,,,
Class,uco,ActionPattern,action pattern,action pattern,,,,,,,,,,,,,
Class,uco,Adaptor,adaptor,adaptor,,,,,,,,,,,,,
Class,uco,Address,address,address,,,,,,,,,,,,,
Class,uco,AddressFacet,address facet,address facet,,,,,,,,,,,,,
Class,uco,AffiliationFacet,affiliation facet,affiliation facet,,,,,,,,,,,,,
Class,uco,AlternateDataStream,alternate data stream,alternate data stream,,,,,,,,,,,,,
Class,uco,AlternateDataStreamFacet,alternate data stream facet,alternate data stream facet,,,,,,,,,,,,,
Class,uco,Analysis,analysis,analysis,,,,,,,,,,,,,
Class,uco,AnalyticResult,analytic result,analytic result,,,,,,,,,,,,,
Class,uco,AnalyticResultFacet,analytic result facet,analytic result facet,,,,,,,,,,,,,
Class,uco,AnalyticTool,analytic tool,analytic tool,,,,,,,,,,,,,
Class,uco,AndroidDevice,android device,android device,,,,,,,,,,,,,
Class,uco,AndroidDeviceFacet,android device facet,android device facet,,,,,,,,,,,,,
Class,uco,AndroidPhone,android phone,android phone,,,,,,,,,,,,,
Class,uco,Annotation,annotation,annotation,,,,,,,,,,,,,
Class,uco,AntennaFacet,antenna facet,antenna facet,,,,,,,,,,,,,
Class,uco,AppleDevice,apple device,apple device,,,,,,,,,,,,,
Class,uco,Appliance,appliance,appliance,,,,,,,,,,,,,
Class,uco,Application,application,application,,,,,,,,,,,,,
Class,uco,ApplicationAccount,application account,application account,,,,,,,,,,,,,
Class,uco,ApplicationAccountFacet,application account facet,application account facet,,,,,,,,,,,,,
Class,uco,ApplicationFacet,application facet,application facet,,,,,,,,,,,,,
Class,uco,ApplicationVersion,application version,application version,,,,,,,,,,,,,
Class,uco,ArchiveFile,archive file,archive file,,,,,,,,,,,,,
Class,uco,ArchiveFileFacet,archive file facet,archive file facet,,,,,,,,,,,,,
Class,uco,ArrayOfAction,array of action,array of action,,,,,,,,,,,,,
Class,uco,ArtifactClassification,artifact classification,artifact classification,,,,,,,,,,,,,
Class,uco,ArtifactClassificationResultFacet,artifact classification result facet,artifact classification result facet,,,,,,,,,,,,,
Class,uco,Assertion,assertion,assertion,,,,,,,,,,,,,
Class,uco,AttributedName,attributed name,attributed name,,,,,,,,,,,,,
Class,uco,Audio,audio,audio,,,,,,,,,,,,,
Class,uco,AudioFacet,audio facet,audio facet,,,,,,,,,,,,,
Class,uco,AutonomousSystem,autonomous system,autonomous system,,,,,,,,,,,,,
Class,uco,AutonomousSystemFacet,autonomous system facet,autonomous system facet,,,,,,,,,,,,,
Class,uco,BenevolentRole,benevolent role,benevolent role,,,,,,,,,,,,,
Class,uco,BirthInformationFacet,birth information facet,birth information facet,,,,,,,,,,,,,
Class,uco,BlackberryPhone,blackberry phone,blackberry phone,,,,,,,,,,,,,
Class,uco,BlockDeviceNode,block device node,block device node,,,,,,,,,,,,,
Class,uco,BluetoothAddress,bluetooth address,bluetooth address,,,,,,,,,,,,,
